Date,Order_ID,Item_Name,Category,Quantity,Price,Total_Sales,Payment_Method,Customer_ID,Customer_Age,Customer_Gender,Visit_Type,Order_Time,Wait_Time_Mins,Day_of_the_Week,Meal_Period,Day_Type,row_id
2024-04-22,ORD53738,Salad,Appetizer,3,9.00,27.00,Cash,CUST1837,32,Male,Delivery,13:07:00,21,Monday,Lunch,Weekday,1
2024-10-30,ORD37934,Soda,Beverages,4,3.00,12.00,Cash,CUST8969,63,Male,Delivery,18:32:00,19,Wednesday,Dinner,Weekday,2
2024-10-07,ORD80564,Pasta,"Main Course",2,16.00,32.00,"Mobile Payment",CUST9018,62,Male,Delivery,17:14:00,21,Monday,Dinner,Weekday,3
2024-11-14,ORD64758,Salad,Appetizer,4,9.00,36.00,Cash,CUST1128,40,Male,Delivery,12:59:00,23,Thursday,Lunch,Weekday,4
2024-11-19,ORD13421,Pasta,"Main Course",3,16.00,48.00,"Mobile Payment",CUST4340,28,Female,Dine-in,19:47:00,19,Tuesday,Dinner,Weekday,5
2024-04-09,ORD19563,Salad,Appetizer,1,9.00,9.00,Cash,CUST2293,61,Female,Takeout,14:27:00,7,Tuesday,Lunch,Weekday,6
2024-05-30,ORD56387,Tea,Beverages,2,3.00,6.00,Cash,CUST2882,55,Female,Dine-in,08:48:00,12,Thursday,Breakfast,Weekday,7
2024-04-04,ORD34696,Soda,Beverages,3,3.00,9.00,"Credit Card",CUST7574,24,Male,Delivery,17:46:00,18,Thursday,Dinner,Weekday,8
2024-04-22,ORD22648,Burger,"Main Course",3,12.00,36.00,"Mobile Payment",CUST7407,36,Female,Takeout,16:29:00,14,Monday,Lunch,Weekday,9
2024-08-16,ORD80168,Wine,"Alcoholic Drinks",4,10.00,40.00,Cash,CUST3225,61,Male,Dine-in,17:58:00,11,Friday,Dinner,Weekday,10
2024-09-04,ORD42032,Pasta,"Main Course",3,16.00,48.00,"Mobile Payment",CUST6456,36,Female,Delivery,21:27:00,24,Wednesday,Dinner,Weekday,11
2024-03-10,ORD14368,Burger,"Main Course",3,12.00,36.00,"Mobile Payment",CUST7944,31,Female,Dine-in,16:33:00,19,Sunday,Lunch,Weekend,12
2024-06-08,ORD80225,Salad,Appetizer,2,9.00,18.00,"Credit Card",CUST5986,40,Male,Takeout,14:39:00,9,Saturday,Lunch,Weekend,13
2024-02-17,ORD58476,Tea,Beverages,4,3.00,12.00,"Credit Card",CUST2784,19,Female,Delivery,06:44:00,19,Saturday,Breakfast,Weekend,14
2024-09-13,ORD59842,Beer,"Alcoholic Drinks",1,6.00,6.00,Cash,CUST6649,31,Female,Delivery,18:21:00,16,Friday,Dinner,Weekday,15
2024-06-14,ORD87570,Pizza,"Main Course",2,14.00,28.00,Cash,CUST2345,18,Male,Takeout,12:04:00,11,Friday,Lunch,Weekday,16
2024-08-24,ORD73365,Burger,"Main Course",1,12.00,12.00,"Credit Card",CUST6022,41,Male,Takeout,14:41:00,8,Saturday,Lunch,Weekend,17
2024-04-15,ORD99628,Coffee,Beverages,4,4.00,16.00,"Mobile Payment",CUST6965,21,Male,Delivery,08:37:00,19,Monday,Breakfast,Weekday,18
2024-01-05,ORD61204,Pizza,"Main Course",5,14.00,70.00,Cash,CUST8638,58,Male,Delivery,12:24:00,30,Friday,Lunch,Weekday,19
2024-11-05,ORD79541,Burger,"Main Course",5,12.00,60.00,Cash,CUST5718,24,Male,Takeout,15:24:00,20,Tuesday,Lunch,Weekday,20
2024-08-07,ORD87849,Coffee,Beverages,1,4.00,4.00,"Credit Card",CUST8905,26,Female,Delivery,07:43:00,16,Wednesday,Breakfast,Weekday,21
2024-04-05,ORD95823,Beer,"Alcoholic Drinks",5,6.00,30.00,"Credit Card",CUST4528,37,Male,Delivery,19:43:00,16,Friday,Dinner,Weekday,22
2024-12-08,ORD60797,Pizza,"Main Course",5,14.00,70.00,Cash,CUST7694,57,Female,Delivery,16:21:00,30,Sunday,Lunch,Weekend,23
2024-06-06,ORD44746,Pizza,"Main Course",4,14.00,56.00,"Credit Card",CUST3181,65,Male,Dine-in,14:41:00,22,Thursday,Lunch,Weekday,24
2024-12-09,ORD35978,Burger,"Main Course",2,12.00,24.00,"Credit Card",CUST2222,32,Female,Dine-in,16:07:00,16,Monday,Lunch,Weekday,25
2024-08-08,ORD23963,Coffee,Beverages,5,4.00,20.00,Cash,CUST5671,65,Male,Takeout,06:22:00,10,Thursday,Breakfast,Weekday,26
2024-03-10,ORD42293,Salad,Appetizer,1,9.00,9.00,Cash,CUST6255,20,Male,Dine-in,15:10:00,12,Sunday,Lunch,Weekend,27
2024-09-29,ORD38321,Wine,"Alcoholic Drinks",5,10.00,50.00,Cash,CUST7531,61,Female,Dine-in,21:13:00,11,Sunday,Dinner,Weekend,28
2024-11-03,ORD27700,Beer,"Alcoholic Drinks",5,6.00,30.00,Cash,CUST2660,26,Male,Dine-in,17:12:00,11,Sunday,Dinner,Weekend,29
2024-01-10,ORD63800,Salad,Appetizer,3,9.00,27.00,"Credit Card",CUST1134,41,"Prefer not to answer",Takeout,11:15:00,11,Wednesday,Lunch,Weekday,30
2024-01-16,ORD75028,Burger,"Main Course",1,12.00,12.00,"Credit Card",CUST8110,47,Male,Takeout,12:04:00,8,Tuesday,Lunch,Weekday,31
2024-06-01,ORD90072,Soda,Beverages,2,3.00,6.00,Cash,CUST9510,21,Female,Dine-in,17:26:00,12,Saturday,Dinner,Weekend,32
2024-08-07,ORD91199,Salad,Appetizer,2,9.00,18.00,"Credit Card",CUST4488,27,Female,Dine-in,12:48:00,14,Wednesday,Lunch,Weekday,33
2024-06-15,ORD71131,Salad,Appetizer,1,9.00,9.00,Cash,CUST9887,28,Female,Dine-in,13:05:00,12,Saturday,Lunch,Weekend,34
2024-08-17,ORD72565,Soda,Beverages,2,3.00,6.00,Cash,CUST2981,59,Male,Dine-in,21:17:00,12,Saturday,Dinner,Weekend,35
2024-07-26,ORD53302,"Unknown Item","Main Course",3,16.00,48.00,"Credit Card",CUST8725,41,Female,Delivery,19:35:00,16,Friday,Dinner,Weekday,36
2024-12-18,ORD42381,Pizza,"Main Course",1,14.00,14.00,Cash,CUST5818,39,Female,Takeout,12:12:00,8,Wednesday,Lunch,Weekday,37
2024-12-25,ORD75469,Tea,Beverages,3,3.00,9.00,Cash,CUST6087,40,Female,Delivery,09:52:00,18,Wednesday,Breakfast,Holiday,38
2024-10-08,ORD95411,Tea,Beverages,5,3.00,15.00,Cash,CUST5812,51,Male,Takeout,08:24:00,10,Tuesday,Breakfast,Weekday,39
2024-01-19,ORD81664,Pizza,"Main Course",4,14.00,56.00,"Mobile Payment",CUST2180,57,Female,Dine-in,13:02:00,22,Friday,Lunch,Weekday,40
2024-08-30,ORD92892,Soda,Beverages,2,3.00,6.00,"Credit Card",CUST6550,41,Male,Dine-in,19:58:00,12,Friday,Dinner,Weekday,41
2024-02-11,ORD36607,Salad,Appetizer,1,9.00,9.00,"Credit Card",CUST5239,50,Male,Delivery,13:20:00,17,Sunday,Lunch,Weekend,42
2024-09-04,ORD41457,Burger,"Main Course",4,12.00,48.00,"Credit Card",CUST7456,22,Male,Delivery,15:32:00,27,Wednesday,Lunch,Weekday,43
2024-11-29,ORD51733,Tea,Beverages,4,3.00,12.00,Cash,CUST1544,63,Male,Dine-in,07:46:00,14,Friday,Breakfast,Weekday,44
2024-07-31,ORD75427,Tea,Beverages,3,3.00,9.00,"Mobile Payment",CUST7434,61,Male,Dine-in,10:13:00,13,Wednesday,Breakfast,Weekday,45
2024-11-20,ORD45385,Pasta,"Main Course",2,16.00,32.00,"Credit Card",CUST7456,41,Male,Dine-in,19:20:00,16,Wednesday,Dinner,Weekday,46
2024-04-05,ORD68109,Pizza,"Main Course",3,14.00,42.00,Cash,CUST8003,22,Male,Dine-in,12:53:00,19,Friday,Lunch,Weekday,48
2024-10-06,ORD62263,Salad,Appetizer,3,9.00,27.00,"Credit Card",CUST9787,65,Male,Takeout,14:37:00,11,Sunday,Lunch,Weekend,49
2024-04-25,ORD95317,Tea,Beverages,5,3.00,15.00,"Credit Card",CUST6502,21,Female,Dine-in,10:20:00,15,Thursday,Breakfast,Weekday,50
2024-04-13,ORD95578,Pasta,"Main Course",4,16.00,64.00,"Credit Card",CUST1395,60,Male,Dine-in,18:41:00,22,Saturday,Dinner,Weekend,51
2024-08-28,ORD84394,Salad,Appetizer,3,9.00,27.00,"Mobile Payment",CUST2211,21,Female,Takeout,13:33:00,11,Wednesday,Lunch,Weekday,52
2024-11-05,ORD44408,Soda,Beverages,5,3.00,15.00,"Credit Card",CUST2761,59,Male,Delivery,17:44:00,20,Tuesday,Dinner,Weekday,53
2024-06-21,ORD15628,Coffee,Beverages,5,4.00,20.00,Cash,CUST5920,64,Male,Takeout,10:52:00,10,Friday,Breakfast,Weekday,54
2024-02-20,ORD14954,Burger,"Main Course",3,12.00,36.00,"Credit Card",CUST7364,49,Male,Takeout,13:12:00,14,Tuesday,Lunch,Weekday,55
2024-11-05,ORD41448,Soda,Beverages,2,3.00,6.00,"Credit Card",CUST1695,26,Female,Dine-in,17:48:00,12,Tuesday,Dinner,Weekday,56
2024-12-05,ORD89807,Pasta,"Main Course",3,16.00,48.00,"Mobile Payment",CUST5697,52,Male,Dine-in,17:42:00,19,Thursday,Dinner,Weekday,57
2024-01-29,ORD30857,Beer,"Alcoholic Drinks",4,6.00,24.00,"Mobile Payment",CUST1401,43,Male,Dine-in,17:31:00,11,Monday,Dinner,Weekday,58
