Date,Order ID,Item Name,Category,Quantity,Price,Total Sales,Payment Method,Customer ID,Customer Age,Customer Gender,Visit Type,Order Time,Wait Time (mins),Day of the Week,Meal Period,Day Type
2024-04-22,ORD53738,Salad,Appetizer,3,9,27,Cash,CUST1837,32,Male,Delivery,13:07:00,21,Monday,Lunch,Weekday
2024-10-30,ORD37934,Soda,Beverages,4,3,12,Cash,CUST8969,63,Male,Delivery,18:32:00,19,Wednesday,Dinner,Weekday
2024-10-07,ORD80564,Pasta,Main Course,2,16,32,Mobile Payment,CUST9018,62,Male,Delivery,17:14:00,21,Monday,Dinner,Weekday
2024-11-14,ORD64758,Salad,Appetizer,4,9,36,Cash,CUST1128,40,Male,Delivery,12:59:00,23,Thursday,Lunch,Weekday
2024-11-19,ORD13421,Pasta,Main Course,3,16,48,Mobile Payment,CUST4340,28,Female,Dine-in,19:47:00,19,Tuesday,Dinner,Weekday
2024-05-30,ORD56387,Tea,Beverages,2,3,6,Cash,CUST2882,55,Female,Dine-in,8:48:00,12,Thursday,Breakfast,Weekday
2024-04-04,ORD34696,Soda,Beverages,3,3,9,Credit Card,CUST7574,24,Male,Delivery,17:46:00,18,Thursday,Dinner,Weekday
2024-04-22,ORD22648,Burger,Main Course,3,12,36,Mobile Payment,CUST7407,36,Female,Takeout,16:29:00,14,Monday,Lunch,Weekday
2024-09-13,ORD59842,Beer,Alcoholic Drinks,1,6,6,Cash,CUST6649,31,Female,Delivery,18:21:00,16,Friday,Dinner,Weekday
2024-04-15,ORD99628,Coffee,Beverages,4,4,16,Mobile Payment,CUST6965,21,Male,Delivery,8:37:00,19,Monday,Breakfast,Weekday
2024-01-05,ORD61204,Pizza,Main Course,5,14,70,Cash,CUST8638,58,Male,Delivery,12:24:00,30,Friday,Lunch,Weekday
2024-11-05,ORD79541,Burger,Main Course,5,12,60,Cash,CUST5718,24,Male,Takeout,15:24:00,20,Tuesday,Lunch,Weekday
2024-08-07,ORD87849,Coffee,Beverages,1,4,4,Credit Card,CUST8905,26,Female,Delivery,7:43:00,16,Wednesday,Breakfast,Weekday
2024-04-05,ORD95823,Beer,Alcoholic Drinks,5,6,30,Credit Card,CUST4528,37,Male,Delivery,19:43:00,16,Friday,Dinner,Weekday
2024-12-08,ORD60797,Pizza,Main Course,5,14,70,Cash,CUST7694,57,Female,Delivery,16:21:00,30,Sunday,Lunch,Weekend
2024-06-06,ORD44746,Pizza,Main Course,4,14,56,Credit Card,CUST3181,65,Male,Dine-in,14:41:00,22,Thursday,Lunch,Weekday
2024-12-09,ORD35978,Burger,Main Course,2,12,24,Credit Card,CUST2222,32,Female,Dine-in,16:07:00,16,Monday,Lunch,Weekday
2024-08-08,ORD23963,Coffee,Beverages,5,4,20,Cash,CUST5671,65,Male,Takeout,6:22:00,10,Thursday,Breakfast,Weekday
2024-03-10,ORD42293,Salad,Appetizer,1,9,9,Cash,CUST6255,20,Male,Dine-in,15:10:00,12,Sunday,Lunch,Weekend
2024-09-29,ORD38321,Wine,Alcoholic Drinks,5,10,50,Cash,CUST7531,61,Female,Dine-in,21:13:00,11,Sunday,Dinner,Weekend
2024-01-10,ORD63800,Salad,Appetizer,3,9,27,Credit Card,CUST1134,41,Prefer not to answer,Takeout,11:15:00,11,Wednesday,Lunch,Weekday
2024-01-16,ORD75028,Burger,Main Course,1,12,12,Credit Card,CUST8110,47,Male,Takeout,12:04:00,8,Tuesday,Lunch,Weekday
2024-08-07,ORD91199,Salad,Appetizer,2,9,18,Credit Card,CUST4488,27,Female,Dine-in,12:48:00,14,Wednesday,Lunch,Weekday
2024-07-26,ORD53302,,Main Course,,16,32,Credit Card,CUST8725,,Female,Delivery,19:35:00,,Friday,Dinner,Weekday
2024-12-25,ORD75469,Tea,Beverages,3,3,9,Cash,CUST6087,40,Female,Delivery,9:52:00,18,Wednesday,Breakfast,Holiday
2024-01-19,ORD81664,Pizza,Main Course,4,14,56,Mobile Payment,CUST2180,57,Female,Dine-in,13:02:00,22,Friday,Lunch,Weekday
2024-08-30,ORD92892,Soda,Beverages,2,3,6,Credit Card,CUST6550,41,Male,Dine-in,19:58:00,12,Friday,Dinner,Weekday
2024-09-04,ORD41457,Burger,Main Course,4,12,48,Credit Card,CUST7456,22,Male,Delivery,15:32:00,27,Wednesday,Lunch,Weekday
2024-11-20,ORD45385,Pasta,Main Course,2,16,32,Credit Card,CUST7456,41,Male,Dine-in,19:20:00,16,Wednesday,Dinner,Weekday
2024-10-06,ORD62263,Salad,Appetizer,3,9,27,Credit Card,CUST9787,65,Male,Takeout,14:37:00,11,Sunday,Lunch,Weekend
2024-04-25,ORD95317,Tea,Beverages,5,3,15,Credit Card,CUST6502,21,Female,Dine-in,10:20:00,15,Thursday,Breakfast,Weekday
2024-04-13,ORD95578,Pasta,Main Course,4,16,64,Credit Card,CUST1395,60,Male,Dine-in,18:41:00,22,Saturday,Dinner,Weekend
2024-11-05,ORD44408,Soda,Beverages,5,3,15,Credit Card,CUST2761,59,Male,Delivery,17:44:00,20,Tuesday,Dinner,Weekday
2024-02-20,ORD14954,Burger,Main Course,3,12,36,Credit Card,CUST7364,49,Male,Takeout,13:12:00,14,Tuesday,Lunch,Weekday
2024-01-29,ORD30857,Beer,Alcoholic Drinks,4,6,24,Mobile Payment,CUST1401,43,Male,Dine-in,17:31:00,11,Monday,Dinner,Weekday
2024-09-08,ORD71216,Tea,Beverages,3,3,9,Cash,CUST1444,26,Male,Takeout,8:52:00,8,Sunday,Breakfast,Weekend
2024-12-06,ORD48950,Burger,Main Course,4,12,48,Credit Card,CUST2702,54,Female,Delivery,11:32:00,27,Friday,Lunch,Weekday
2024-09-14,ORD49203,Coffee,Beverages,4,4,16,Cash,CUST8622,36,Male,Delivery,6:12:00,19,Saturday,Breakfast,Weekend
2024-10-17,ORD29263,Beer,Alcoholic Drinks,1,6,6,Mobile Payment,CUST4799,65,Male,Delivery,19:28:00,16,Thursday,Dinner,Weekday
2024-06-09,ORD95469,Beer,Alcoholic Drinks,1,6,6,Credit Card,CUST5444,27,Female,Delivery,17:34:00,16,Sunday,Dinner,Weekend
2024-05-31,ORD44133,Coffee,Beverages,2,4,8,Mobile Payment,CUST8001,45,Female,Dine-in,8:07:00,12,Friday,Breakfast,Weekday
2024-05-22,ORD41620,Pizza,Main Course,1,14,14,Cash,CUST4935,58,Female,Dine-in,12:12:00,13,Wednesday,Lunch,Weekday
2024-03-11,ORD83540,Soda,Beverages,2,3,6,Cash,CUST7666,48,Male,Delivery,21:40:00,17,Monday,Dinner,Weekday
2024-09-24,ORD26304,Soda,Beverages,2,3,6,Credit Card,CUST5508,18,Female,Dine-in,17:57:00,12,Tuesday,Dinner,Weekday
2024-06-27,ORD90201,Soda,Beverages,1,3,3,Credit Card,CUST6101,42,Female,Delivery,21:11:00,16,Thursday,Dinner,Weekday
2024-08-12,ORD36384,Coffee,Beverages,4,4,16,Mobile Payment,CUST4892,54,Female,Delivery,10:24:00,19,Monday,Breakfast,Weekday
2024-01-20,ORD21727,Pizza,Main Course,4,14,56,Credit Card,CUST6825,59,Male,Delivery,14:46:00,27,Saturday,Lunch,Weekend
2024-01-10,ORD62382,Pasta,Main Course,4,16,64,Cash,CUST9146,61,Male,Takeout,20:30:00,17,Wednesday,Dinner,Weekday
2024-01-11,ORD36398,Beer,Alcoholic Drinks,1,6,6,Mobile Payment,CUST9063,28,Male,Dine-in,19:48:00,11,Thursday,Dinner,Weekday
2024-02-02,ORD89408,Beer,Alcoholic Drinks,3,6,18,Mobile Payment,CUST3850,47,Female,Takeout,20:55:00,6,Friday,Dinner,Weekday
2024-07-01,ORD16788,Tea,Beverages,3,3,9,Cash,CUST7693,40,Female,Takeout,7:50:00,8,Monday,Breakfast,Weekday
2024-01-27,ORD69811,Burger,Main Course,5,12,60,Credit Card,CUST2669,59,Female,Takeout,14:54:00,20,Saturday,Lunch,Weekend
2024-02-25,ORD90298,Salad,Appetizer,1,9,9,Mobile Payment,CUST2538,39,Male,Dine-in,15:01:00,12,Sunday,Lunch,Weekend
2024-07-18,ORD63680,Wine,Alcoholic Drinks,3,10,30,Cash,CUST1419,53,Female,Dine-in,21:56:00,11,Thursday,Dinner,Weekday
2024-04-09,ORD19563,Salad,Appetizer,1,9,9,Cash,CUST2293,61,Female,Takeout,14:27:00,7,Tuesday,Lunch,Weekday
2024-08-16,ORD80168,Wine,Alcoholic Drinks,4,10,40,Cash,CUST3225,61,Male,Dine-in,17:58:00,11,Friday,Dinner,Weekday
2024-09-04,ORD42032,Pasta,Main Course,3,16,48,Mobile Payment,CUST6456,36,Female,Delivery,21:27:00,24,Wednesday,Dinner,Weekday
2024-03-10,ORD14368,Burger,Main Course,3,12,36,Mobile Payment,CUST7944,31,Female,Dine-in,16:33:00,19,Sunday,Lunch,Weekend
2024-06-08,ORD80225,Salad,Appetizer,2,9,18,Credit Card,CUST5986,40,Male,Takeout,14:39:00,9,Saturday,Lunch,Weekend
2024-02-17,ORD58476,Tea,Beverages,4,3,12,Credit Card,CUST2784,19,Female,Delivery,6:44:00,19,Saturday,Breakfast,Weekend
2024-06-14,ORD87570,Pizza,Main Course,2,14,28,Cash,CUST2345,18,Male,Takeout,12:04:00,11,Friday,Lunch,Weekday
2024-08-24,ORD73365,Burger,Main Course,1,12,12,Credit Card,CUST6022,41,Male,Takeout,14:41:00,8,Saturday,Lunch,Weekend
2024-11-03,ORD27700,Beer,Alcoholic Drinks,5,6,30,Cash,CUST2660,26,Male,Dine-in,17:12:00,11,Sunday,Dinner,Weekend
2024-06-01,ORD90072,Soda,Beverages,2,3,6,Cash,CUST9510,21,Female,Dine-in,17:26:00,12,Saturday,Dinner,Weekend
2024-06-15,ORD71131,Salad,Appetizer,1,9,9,Cash,CUST9887,28,Female,Dine-in,13:05:00,12,Saturday,Lunch,Weekend
2024-08-17,ORD72565,Soda,Beverages,2,3,6,Cash,CUST2981,59,Male,Dine-in,21:17:00,12,Saturday,Dinner,Weekend
2024-12-18,ORD42381,Pizza,Main Course,1,14,14,Cash,CUST5818,39,Female,Takeout,12:12:00,8,Wednesday,Lunch,Weekday
2024-10-08,ORD95411,Tea,Beverages,5,3,15,Cash,CUST5812,51,Male,Takeout,8:24:00,10,Tuesday,Breakfast,Weekday
2024-02-11,ORD36607,Salad,Appetizer,1,9,9,Credit Card,CUST5239,50,Male,Delivery,13:20:00,17,Sunday,Lunch,Weekend
2024-11-29,ORD51733,Tea,Beverages,4,3,12,Cash,CUST1544,63,Male,Dine-in,7:46:00,14,Friday,Breakfast,Weekday
2024-07-31,ORD75427,Tea,Beverages,3,3,9,Mobile Payment,CUST7434,61,Male,Dine-in,10:13:00,13,Wednesday,Breakfast,Weekday
2024-12-08,ORD60797,Pizza,Main Course,5,14,70,Cash,CUST7694,57,Prefer not to answer,Delivery,16:21:00,30,Sunday,Lunch,Weekend
2024-04-05,ORD68109,Pizza,Main Course,3,14,42,Cash,CUST8003,22,Male,Dine-in,12:53:00,19,Friday,Lunch,Weekday
2024-08-28,ORD84394,Salad,Appetizer,3,9,27,Mobile Payment,CUST2211,21,Female,Takeout,13:33:00,11,Wednesday,Lunch,Weekday
2024-06-21,ORD15628,Coffee,Beverages,5,4,20,Cash,CUST5920,64,Male,Takeout,10:52:00,10,Friday,Breakfast,Weekday
2024-11-05,ORD41448,Soda,Beverages,2,3,6,Credit Card,CUST1695,26,Female,Dine-in,17:48:00,12,Tuesday,Dinner,Weekday
2024-12-05,ORD89807,Pasta,Main Course,3,16,48,Mobile Payment,CUST5697,52,Male,Dine-in,17:42:00,19,Thursday,Dinner,Weekday
2024-09-02,ORD93430,Tea,Beverages,1,3,3,Cash,CUST1905,64,Female,Takeout,10:40:00,6,Monday,Breakfast,Weekday
2024-08-28,ORD58746,Tea,Beverages,2,3,6,Mobile Payment,CUST3682,44,Female,Dine-in,8:16:00,12,Wednesday,Breakfast,Weekday
2024-04-30,ORD72559,Wine,Alcoholic Drinks,4,10,40,Credit Card,CUST1397,22,Female,Takeout,20:20:00,6,Tuesday,Dinner,Weekday
2024-10-26,ORD64496,Soda,Beverages,5,3,15,Mobile Payment,CUST6668,26,Female,Delivery,20:40:00,20,Saturday,Dinner,Weekend
2024-09-25,ORD32988,Soda,Beverages,5,3,15,Cash,CUST7361,28,Male,Delivery,17:59:00,20,Wednesday,Dinner,Weekday
2024-03-26,ORD91319,Burger,Main Course,3,12,36,Credit Card,CUST5218,53,Male,Delivery,11:43:00,24,Tuesday,Lunch,Weekday
2024-11-03,ORD27700,Beer,Alcoholic Drinks,5,6,30,Cash,CUST2660,26,Male,Dine-in,17:12:00,11,Sunday,Dinner,Weekend
2024-09-03,ORD34011,Pasta,Main Course,5,16,80,Cash,CUST8834,43,Female,Takeout,17:18:00,20,Tuesday,Dinner,Weekday
2024-05-06,ORD23594,Soda,Beverages,4,3,12,Mobile Payment,CUST6440,47,Male,Takeout,17:57:00,9,Monday,Dinner,Weekday
2024-09-06,ORD96562,Burger,Main Course,5,12,60,Credit Card,CUST4506,36,Male,Delivery,15:01:00,30,Friday,Lunch,Weekday
2024-06-12,ORD97734,Burger,Main Course,5,12,60,Cash,CUST3116,61,Male,Takeout,16:04:00,20,Wednesday,Lunch,Weekday
2024-03-06,ORD10719,Soda,Beverages,3,3,9,Credit Card,CUST1774,23,Female,Takeout,19:18:00,8,Wednesday,Dinner,Weekday
2024-05-16,ORD66690,Tea,Beverages,4,3,12,Mobile Payment,CUST2033,54,Male,Takeout,9:49:00,9,Thursday,Breakfast,Weekday
2024-03-26,ORD24805,Beer,Alcoholic Drinks,1,6,6,Mobile Payment,CUST1261,62,Prefer not to answer,Delivery,19:16:00,16,Tuesday,Dinner,Weekday
2024-01-26,ORD48103,Pizza,Main Course,4,14,56,Cash,CUST7648,51,Female,Delivery,12:37:00,27,Friday,Lunch,Weekday
2024-09-15,ORD93109,Wine,Alcoholic Drinks,5,10,50,Mobile Payment,CUST7338,19,Male,Dine-in,18:46:00,11,Sunday,Dinner,Weekend
2024-02-02,ORD36126,Salad,Appetizer,2,9,18,Cash,CUST3033,28,Female,Takeout,16:31:00,9,Friday,Lunch,Weekday
2024-12-06,ORD10205,Tea,Beverages,5,3,15,Mobile Payment,CUST6658,34,Male,Dine-in,6:06:00,15,Friday,Breakfast,Weekday
2024-10-22,ORD75907,Beer,Alcoholic Drinks,4,6,24,Cash,CUST6079,37,Prefer not to answer,Dine-in,19:01:00,11,Tuesday,Dinner,Weekday
2024-04-09,ORD48127,Wine,Alcoholic Drinks,2,10,20,Cash,CUST1083,27,Male,Dine-in,19:36:00,11,Tuesday,Dinner,Weekday
2024-11-25,ORD47083,Soda,Beverages,2,3,6,Credit Card,CUST5396,51,Prefer not to answer,Dine-in,17:08:00,12,Monday,Dinner,Weekday
2024-01-09,ORD26712,Pizza,Main Course,4,14,56,Cash,CUST1300,42,Male,Dine-in,12:44:00,22,Tuesday,Lunch,Weekday
2024-07-20,ORD73588,Pizza,Main Course,3,14,42,Mobile Payment,CUST2936,18,Male,Takeout,12:02:00,14,Saturday,Lunch,Weekend
2024-08-10,ORD41159,Wine,Alcoholic Drinks,5,10,50,Cash,CUST8564,34,Female,Dine-in,19:40:00,11,Saturday,Dinner,Weekend
2024-09-18,ORD52813,Burger,Main Course,11,12,24,Cash,CUST8077,32,unknown,Delivery,14:41:00,74,Wednesday,Lunch,Weekday
2024-02-16,ORD75137,Pasta,Main Course,5,16,80,Mobile Payment,CUST9470,53,Male,Takeout,17:13:00,20,Friday,Dinner,Weekday
2024-06-29,ORD73577,Salad,Appetizer,4,9,36,Cash,CUST5530,23,Prefer not to answer,Delivery,16:20:00,23,Saturday,Lunch,Weekend
2024-08-18,ORD77678,Pasta,Main Course,3,16,48,Mobile Payment,CUST7650,23,Male,Takeout,17:39:00,14,Sunday,Dinner,Weekend
2024-05-16,ORD61248,Wine,Alcoholic Drinks,4,10,40,Mobile Payment,CUST5868,23,Male,Takeout,20:27:00,6,Thursday,Dinner,Weekday
